age,gender,education,department,job_level,years_at_company,years_in_role,num_companies_worked,monthly_income,overtime,work_life_balance,job_satisfaction,relationship_satisfaction,environment_satisfaction,training_last_year,performance_rating,distance_from_home,business_travel,attrition
50,Male,High School,Operations,Junior,15.5,5.6,7,5800.0,Yes,3.0,3,3,3.0,,3,11,Travel_Rarely,1
36,Female,Bachelor,Finance,Junior,6.4,3.1,4,5000.0,No,2.0,2,2,3.0,2.0,3,25,Non-Travel,0
29,Female,PhD,Engineering,Senior,1.4,1.2,3,8000.0,No,3.0,3,2,3.0,4.0,3,1,Non-Travel,0
42,Male,High School,Sales,Senior,7.5,6.7,4,6000.0,No,3.0,3,4,3.0,6.0,3,10,Travel_Rarely,0
40,Female,PhD,Sales,Lead,5.7,4.8,7,10300.0,Yes,3.0,4,2,3.0,6.0,3,29,Non-Travel,0
44,Female,Bachelor,Engineering,Mid,1.4,1.0,4,6700.0,Yes,2.0,4,3,3.0,1.0,4,25,Travel_Frequently,1
32,Male,High School,Operations,Junior,2.2,1.5,6,6000.0,No,4.0,2,3,3.0,1.0,3,4,Non-Travel,0
32,Female,Bachelor,Engineering,Senior,0.8,0.6,3,7200.0,Yes,3.0,1,3,2.0,4.0,4,23,Travel_Rarely,0
45,Male,Bachelor,Marketing,Senior,0.5,0.3,3,7700.0,No,4.0,3,4,2.0,4.0,4,25,Travel_Rarely,0
57,Male,Bachelor,Operations,Junior,5.1,4.5,4,6300.0,Yes,,4,4,1.0,6.0,2,27,Travel_Rarely,1
45,Male,Master,Engineering,Lead,1.2,0.9,2,9500.0,No,4.0,3,3,4.0,2.0,3,7,Travel_Rarely,1
24,Female,Bachelor,Sales,Junior,6.9,5.4,6,4800.0,No,4.0,3,1,3.0,6.0,4,2,Travel_Frequently,1
43,Female,Bachelor,HR,Manager,21.7,14.7,2,10400.0,Yes,4.0,4,2,2.0,2.0,1,22,Travel_Rarely,0
23,Male,Bachelor,Operations,Lead,0.3,0.3,4,7400.0,No,3.0,4,3,3.0,5.0,3,13,Travel_Rarely,0
45,Male,PhD,Marketing,Senior,2.6,1.2,2,10200.0,No,3.0,3,2,3.0,3.0,4,22,Non-Travel,0
125,Female,High School,Sales,Manager,6.5,3.7,3,9800.0,No,3.0,3,3,2.0,3.0,3,19,Non-Travel,0
59,Male,Bachelor,Finance,Senior,6.2,5.2,3,8100.0,No,3.0,4,4,4.0,4.0,2,4,Non-Travel,0
23,Female,High School,Finance,Junior,5.7,3.7,2,3600.0,Yes,1.0,4,3,3.0,0.0,4,6,Non-Travel,0
42,Female,High School,Operations,Mid,1.7,1.6,3,5900.0,Yes,3.0,3,2,4.0,0.0,3,27,Travel_Rarely,0
54,Male,PhD,Sales,Junior,2.4,1.3,1,8900.0,No,2.0,3,3,4.0,0.0,4,22,Travel_Rarely,0
33,Female,Bachelor,HR,Mid,3.6,2.0,3,6100.0,No,2.0,3,4,3.0,1.0,3,17,Travel_Rarely,0
43,Male,Master,Operations,Senior,14.6,13.5,4,8300.0,No,1.0,3,3,3.0,2.0,3,26,Non-Travel,0
46,Female,High School,Engineering,Mid,1.6,1.0,5,6800.0,Yes,4.0,4,2,3.0,4.0,4,24,Travel_Rarely,0
48,Female,Master,HR,Mid,10.3,6.8,2,8300.0,No,3.0,3,3,3.0,3.0,3,9,Travel_Frequently,0
49,Female,Bachelor,Sales,Senior,1.3,0.7,6,7800.0,No,2.0,2,3,4.0,0.0,3,2,Travel_Frequently,0
37,Male,Master,Engineering,Lead,18.1,8.9,7,10600.0,Yes,3.0,2,2,4.0,3.0,1,20,Travel_Frequently,1
36,Female,Master,Engineering,Junior,4.4,3.3,2,6600.0,No,2.0,4,4,2.0,2.0,3,27,Travel_Frequently,0
24,Male,Master,Operations,Mid,2.5,1.0,7,6700.0,No,4.0,3,4,,5.0,4,6,Travel_Rarely,0
58,Male,Bachelor,Engineering,Junior,3.8,3.5,7,5400.0,No,2.0,3,3,3.0,5.0,3,18,Travel_Frequently,1
28,Male,Bachelor,Engineering,Senior,1.3,1.1,3,5400.0,No,2.0,2,4,2.0,4.0,2,27,Travel_Rarely,1
42,Male,PhD,Finance,Junior,1.3,0.6,3,7700.0,No,4.0,3,3,4.0,0.0,3,23,Travel_Frequently,0
30,Male,High School,Sales,Senior,0.5,0.4,5,7100.0,No,3.0,2,4,3.0,0.0,2,22,Non-Travel,0
39,Female,Bachelor,HR,Mid,0.5,0.4,5,6400.0,No,4.0,3,3,4.0,5.0,3,24,Travel_Frequently,0
25,Female,High School,Marketing,Junior,1.7,0.7,6,5000.0,Yes,3.0,3,3,4.0,4.0,3,15,Travel_Rarely,1
46,Male,Bachelor,Operations,Manager,5.8,2.8,4,10500.0,No,2.0,3,1,2.0,3.0,3,23,Non-Travel,0
35,Female,Master,Finance,Junior,3.7,2.2,1,6300.0,No,3.0,4,2,4.0,2.0,3,16,Non-Travel,0
30,Male,PhD,Finance,Mid,0.4,0.3,4,7700.0,No,1.0,1,3,4.0,5.0,2,26,Travel_Frequently,1
47,Female,PhD,Sales,Junior,7.6,5.7,6,6400.0,No,2.0,2,3,3.0,5.0,4,1,Travel_Rarely,1
23,Female,High School,Operations,Mid,3.7,2.5,2,6300.0,No,2.0,1,3,3.0,2.0,3,10,Travel_Frequently,0
41,Male,Bachelor,Sales,Mid,13.0,10.9,3,7200.0,Yes,4.0,2,3,1.0,2.0,4,10,Non-Travel,1
49,Female,High School,Marketing,Mid,4.4,3.7,4,6900.0,Yes,3.0,2,3,3.0,5.0,4,21,Travel_Rarely,1
28,Male,Bachelor,Engineering,Junior,0.8,0.6,7,5900.0,No,2.0,3,1,1.0,3.0,3,6,Travel_Rarely,0
29,Male,Master,Operations,Mid,2.6,2.2,3,6300.0,No,2.0,3,2,3.0,3.0,4,23,Travel_Rarely,0
