transaction_amount,transaction_hour,transaction_day,merchant_category,payment_method,customer_age,account_age_months,avg_monthly_spend,num_transactions_30d,num_countries_30d,failed_transactions_7d,velocity_1h,distance_from_home_km,is_foreign_transaction,is_fraud
70.39,18,Fri,Restaurant,Debit,63,48,1242.35,37,1,0.0,1,16.3,1,0
451.52,4,Wed,Online,Credit,55,3,829.81,22,2,2.0,2,,0,1
197.51,7,Sun,Online,Prepaid,22,81,1310.53,34,1,0.0,1,11.4,0,1
136.94,6,Fri,Restaurant,Credit,22,21,1491.69,27,1,,1,1.2,0,0
25.44,13,Sun,Electronics,Credit,78,39,1856.43,28,2,0.0,4,42.8,0,1
25.44,23,Thu,Restaurant,Debit,36,116,824.89,57,1,1.0,2,7.6,0,0
8.98,22,Tue,Online,Credit,68,4,1366.17,22,1,0.0,1,20.6,0,0
,2,Mon,Electronics,Credit,55,24,1141.54,57,1,2.0,2,18.7,0,1
137.86,17,Fri,Travel,Debit,45,2,1178.78,43,1,0.0,2,17.6,0,0
184.69,15,Mon,Online,Credit,43,25,969.77,58,1,0.0,1,14.9,1,1
3.12,22,Tue,Restaurant,Credit,78,10,1180.44,3,1,1.0,1,4.0,0,0
525.53,18,Thu,Gas,Credit,59,87,250.37,22,1,2.0,1,6.6,0,0
267.96,18,Thu,Electronics,Credit,40,18,788.46,58,1,1.0,1,14.9,1,0
35.8,17,Thu,Grocery,Debit,63,36,538.61,48,1,0.0,3,31.2,1,1
30.1,19,Tue,Online,Debit,66,71,505.15,21,1,2.0,1,11.3,1,1
30.39,15,Wed,Grocery,Prepaid,47,148,225.8,16,4,1.0,1,4.6,0,1
54.41,7,Thu,Electronics,Debit,20,25,589.31,9,1,0.0,1,1.8,0,0
111.59,0,Sun,Online,Credit,45,22,730.34,13,3,0.0,5,21.8,0,1
84.83,16,Fri,Restaurant,Prepaid,50,3,873.72,10,1,0.0,2,11.0,0,0
51.63,11,Sun,Healthcare,Debit,59,1,795.03,49,1,2.0,1,2.7,0,1
141.96,20,Fri,Healthcare,Debit,20,34,1220.94,57,1,0.0,1,22.4,0,1
22.54,10,Thu,Electronics,Debit,22,2,441.6,21,1,0.0,1,4.7,0,0
51.83,4,Tue,Grocery,Prepaid,74,17,50.0,49,1,2.0,2,14.2,1,1
,11,Fri,Online,Debit,36,1,1012.58,42,1,0.0,1,7.3,1,1
91.34,16,Thu,Restaurant,Credit,59,34,781.31,40,1,2.0,6,53.7,0,1
230.69,5,Thu,Grocery,Debit,79,20,773.0,7,3,0.0,1,5.2,0,1
33.41,0,Thu,Online,Credit,75,5,514.89,46,5,0.0,2,10.9,0,1
108.3,4,Thu,Grocery,Credit,74,13,1163.65,22,1,0.0,2,64.1,0,0
134.63,13,Wed,ATM,Credit,65,30,632.37,18,1,2.0,3,,0,1
7.13,4,Thu,Grocery,Credit,18,38,446.57,21,1,1.0,1,20.7,0,1
140.3,21,Tue,Grocery,Credit,55,22,1469.7,51,1,2.0,2,7.6,0,1
28.04,23,Sat,Grocery,Credit,26,59,1076.63,50,1,1.0,1,2.3,0,0
10.09,0,Tue,Healthcare,Debit,77,4,783.94,14,1,0.0,1,,0,1
446.05,17,Mon,Gas,Debit,22,3,50.0,10,2,0.0,4,49.5,0,1
505.59,15,Wed,Online,Prepaid,76,2,705.83,33,1,0.0,5,12.1,0,1
247.85,8,Fri,Restaurant,Credit,63,28,791.35,9,1,0.0,2,19.7,0,0
54.49,18,Wed,Restaurant,Debit,59,44,1385.47,18,3,2.0,1,18.8,1,0
15.42,21,Tue,Electronics,Prepaid,51,5,100.01,13,1,0.0,3,10.7,0,0
172.91,4,Thu,Restaurant,Credit,54,37,,59,1,1.0,1,19.1,1,0
87.01,1,Wed,Travel,Debit,50,23,974.77,17,2,3.0,1,6.0,0,0
19.52,14,Sun,Gas,Debit,42,157,316.97,23,1,0.0,2,9.5,0,0
102.53,6,Sun,Electronics,Credit,59,46,1168.73,25,1,2.0,1,11.7,0,0
5.25,3,Thu,Healthcare,Debit,46,39,702.45,54,1,0.0,5,39.9,0,1
360.06,0,Wed,Grocery,Debit,75,30,135.25,16,1,1.0,1,8.6,0,0
44.92,12,Fri,Healthcare,Credit,42,214,622.23,24,3,0.0,1,20.2,0,0
162.94,19,Mon,Grocery,Credit,71,142,901.96,31,1,0.0,2,4.8,0,0
56.03,21,Wed,Restaurant,Credit,76,28,824.77,11,1,0.0,3,5.8,0,0
110.12,6,Wed,Restaurant,Credit,26,22,1057.39,23,1,4.0,1,20.9,0,1
118.68,14,Sun,Restaurant,Credit,79,22,1238.97,41,4,1.0,1,28.7,1,0
30.66,22,Mon,Travel,Credit,20,20,360.57,39,1,0.0,3,12.4,0,0
523.92,13,Thu,Restaurant,Credit,32,27,,22,1,5.0,1,8.2,0,0
223.84,22,Fri,Restaurant,Prepaid,21,12,556.02,33,4,0.0,1,48.2,0,0
420.76,18,Thu,Online,Credit,62,94,,41,4,2.0,2,,1,1
337.82,21,Mon,Gas,Credit,55,24,779.26,42,1,0.0,1,25.5,0,0
136.66,23,Sun,Online,Credit,37,66,972.67,48,1,0.0,6,23.4,0,1
382.42,19,Thu,Electronics,Credit,66,23,996.27,53,1,1.0,2,23.4,1,0
13.9,23,Thu,Gas,Credit,40,46,641.92,18,1,0.0,7,54.8,0,0
32.72,17,Tue,Gas,Credit,54,15,396.85,14,1,0.0,1,26.1,0,0
6.94,9,Thu,Restaurant,Credit,79,35,542.15,28,1,0.0,6,7.2,0,0
59.03,8,Wed,Restaurant,Debit,64,25,50.0,11,1,0.0,1,8.7,0,1
73.82,7,Mon,Electronics,Prepaid,25,16,,24,1,0.0,1,9.9,0,0
47.48,9,Mon,Grocery,Credit,74,77,358.95,36,4,3.0,1,0.6,1,1
264.68,16,Sat,Grocery,Credit,54,4,1138.12,19,1,0.0,1,49.0,1,0
66.18,1,Tue,Grocery,Debit,73,24,1137.76,13,1,0.0,1,1.5,0,1
49.47,5,Tue,Gas,Debit,62,8,1651.79,33,5,0.0,1,24.1,0,1
117.36,4,Thu,Gas,Credit,50,71,896.13,53,1,1.0,1,26.2,0,0
22.78,8,Fri,Healthcare,Prepaid,50,11,606.45,19,1,1.0,1,37.1,0,1
243.07,4,Mon,Online,Debit,24,36,804.79,47,1,1.0,2,16.1,0,1
11.62,17,Thu,Grocery,Credit,39,7,732.31,52,1,0.0,1,25.8,0,1
650.12,19,Mon,ATM,Debit,22,19,547.31,32,1,0.0,3,7.2,0,0
221.92,8,Mon,ATM,Prepaid,63,83,927.97,15,1,1.0,2,27.4,0,1
33.23,16,Mon,Restaurant,Debit,32,7,877.34,57,1,2.0,4,8.4,0,0
1.0,16,Sat,Gas,Credit,38,39,766.97,11,1,0.0,1,46.6,1,0
253.48,11,Mon,Healthcare,Credit,79,8,682.28,23,1,0.0,7,3.6,0,1
184.06,6,Mon,Travel,Credit,42,19,1052.76,59,1,0.0,2,7.6,0,0
195.85,2,Wed,ATM,Credit,34,28,578.5,5,1,0.0,6,13.8,0,1
221.28,9,Sat,Grocery,Debit,73,31,638.74,56,1,1.0,1,29.9,0,0
11.54,1,Tue,Grocery,Debit,67,33,990.03,22,4,0.0,2,27.6,0,1
66.58,2,Wed,Restaurant,Debit,24,37,1204.59,42,1,0.0,3,4.7,0,1
18.47,15,Mon,Gas,Prepaid,71,11,1168.06,18,1,,1,3.1,0,1
298.28,1,Wed,Online,Credit,75,18,696.17,7,1,0.0,2,7.2,0,1
146.45,23,Thu,Healthcare,Debit,67,1,294.26,33,1,0.0,3,13.2,1,1
60.27,9,Thu,Restaurant,Debit,77,53,684.2,3,2,0.0,2,15.5,0,0
9.85,5,Wed,Grocery,Credit,78,65,829.4,28,2,1.0,1,11.2,0,1
55.87,21,Tue,Online,Debit,36,8,354.31,1,1,0.0,2,21.8,0,1
59.0,10,Mon,Gas,Credit,69,8,676.76,49,2,0.0,1,11.2,0,0
196.18,22,Wed,Grocery,Debit,24,2,1282.84,47,1,0.0,3,58.5,0,0
152.23,6,Mon,Restaurant,Credit,57,127,858.99,37,2,0.0,1,6.0,1,0
327.34,14,Fri,Online,Credit,62,59,583.76,22,1,0.0,1,19.7,0,0
95.86,5,Sun,Online,Debit,76,16,811.54,48,1,0.0,1,18.9,0,0
19.11,19,Sun,Restaurant,Debit,67,24,833.5,44,4,1.0,2,6.6,0,0
187.37,8,Sat,Electronics,Credit,41,12,650.66,19,1,0.0,6,10.6,0,1
214.56,21,Thu,Healthcare,Credit,28,33,1108.95,14,4,1.0,1,9.1,0,1
123.58,19,Fri,Gas,Credit,58,45,68.64,3,1,0.0,1,3.8,0,0
221.08,11,Tue,Restaurant,Debit,72,21,988.7,19,1,0.0,1,,0,0
102.12,18,Thu,Electronics,Debit,18,74,570.74,33,1,1.0,3,9.8,0,1
110.95,19,Wed,Online,Prepaid,71,26,1218.28,21,1,0.0,1,3.9,0,1
180185.14,2,Thu,Electronics,Credit,49,6,290.14,1,1,,1,12.0,0,1
3.86,14,Fri,Grocery,Debit,57,35,1175.43,26,1,0.0,2,11.0,0,0
,1,Tue,Travel,Credit,70,22,484.29,10,1,0.0,1,2.8,0,0
4.79,20,Tue,Electronics,Debit,61,99,928.79,35,2,0.0,1,2.8,0,0
151.76,1,Sun,Gas,Credit,19,18,614.0,13,1,0.0,1,20.9,0,0
56.61,21,Mon,Grocery,Credit,32,19,1250.88,6,2,3.0,3,24.5,0,1
106.57,2,Thu,Gas,Debit,38,38,723.57,43,1,2.0,5,56.7,0,1
357.19,5,Sun,Electronics,Credit,41,27,510.78,6,1,0.0,3,1.8,0,0
43.01,14,Thu,Grocery,Debit,67,17,1359.64,35,1,0.0,1,2.5,0,0
79.24,9,Thu,Grocery,Debit,34,165,687.94,16,5,0.0,1,1.1,0,0
211.31,8,Tue,ATM,Credit,64,13,1008.71,41,1,0.0,1,15.2,0,0
38.97,0,Wed,ATM,Credit,69,12,1175.62,8,1,1.0,2,19.5,0,0
12.02,15,Sat,Electronics,Debit,69,72,448.2,59,2,0.0,2,10.3,0,0
51.32,5,Thu,Online,Debit,26,1,968.78,3,1,0.0,4,32.0,0,1
26.37,8,Thu,Gas,Credit,52,8,1022.87,5,2,3.0,1,23.2,1,0
398.24,3,Mon,Healthcare,Credit,37,32,181.01,21,1,1.0,3,85.1,0,0
247.63,1,Mon,Restaurant,Debit,36,6,929.22,31,1,1.0,2,3.0,0,1
150.52,3,Sun,Gas,Debit,35,153,,14,1,2.0,1,1.2,0,1
307.73,0,Wed,Grocery,Credit,37,22,1448.07,37,1,1.0,2,6.4,0,1
244.2,18,Thu,Restaurant,Credit,47,33,1146.45,19,2,0.0,5,0.4,0,1
30.97,9,Mon,Healthcare,Debit,57,6,975.63,37,2,0.0,4,53.9,1,1
334.62,20,Fri,Travel,Debit,18,12,50.0,53,1,0.0,2,7.2,0,1
116.26,14,Sun,Electronics,Prepaid,41,34,977.99,20,3,0.0,1,16.1,0,1
,21,Thu,Grocery,Debit,41,29,495.61,52,1,2.0,4,7.7,0,0
339.64,18,Mon,Online,Prepaid,64,55,1149.41,2,1,0.0,2,5.6,0,1
57.41,15,Thu,Gas,Credit,36,11,736.03,57,1,0.0,1,3.3,0,0
17.49,20,Fri,Restaurant,Debit,47,38,592.37,7,1,0.0,1,7.7,0,0
38.8,23,Wed,Healthcare,Credit,43,12,625.35,33,1,0.0,1,19.1,1,0
83.56,21,Sat,Grocery,Debit,59,32,651.91,53,1,2.0,1,71.2,0,0
255.57,3,Fri,Electronics,Credit,61,33,261.11,50,1,0.0,3,16.3,0,1
295.7,1,Sat,ATM,Credit,77,5,313.59,42,2,0.0,1,15.2,0,1
1.05,12,Thu,Restaurant,Debit,55,29,665.81,6,2,0.0,1,0.7,0,0
107.23,0,Mon,Electronics,Debit,46,1,1422.05,7,1,1.0,1,36.7,0,0
81.04,16,Tue,Travel,Credit,30,25,1085.79,44,1,1.0,1,0.9,0,0
