age,gender,education,marital_status,num_dependents,annual_income,credit_score,existing_debt,num_credit_cards,months_employed,loan_amount,loan_term_months,loan_purpose,interest_rate,property_ownership,loan_default
56,Female,High School,Married,2,51400.0,575.0,12800,4.0,11.0,10300,36,Medical,9.26,Own,1
69,Male,Bachelor,Married,1,40200.0,662.0,25000,3.0,15.0,13100,48,Medical,11.19,Own,0
46,Female,Bachelor,Married,0,33800.0,583.0,11500,6.0,40.0,14800,60,Car,10.12,Rent,0
32,Female,Bachelor,Divorced,3,79300.0,640.0,49500,7.0,28.0,9500,24,Home,10.09,Mortgage,0
60,Male,High School,Single,4,45700.0,700.0,33600,,64.0,9000,12,Home,9.5,Rent,1
25,Male,PhD,Married,0,107400.0,626.0,84500,2.0,23.0,15000,36,Education,6.02,Mortgage,0
38,Male,Bachelor,Married,0,62100.0,776.0,21900,1.0,94.0,20700,60,Education,8.42,Mortgage,0
56,Female,Bachelor,Married,2,37200.0,689.0,13300,3.0,27.0,26600,24,Education,10.38,Own,1
36,Female,PhD,Divorced,1,81700.0,544.0,64300,2.0,,10300,60,Personal,9.91,Own,0
40,Male,Bachelor,Divorced,2,46300.0,676.0,32600,5.0,1.0,13800,60,Education,13.42,Mortgage,1
28,Female,PhD,Married,1,102800.0,767.0,13500,3.0,50.0,17600,12,Personal,6.75,Own,0
28,Male,Bachelor,Single,2,29000.0,693.0,14500,6.0,37.0,30200,36,Home,6.81,Rent,0
41,Male,High School,Single,0,25300.0,671.0,5700,4.0,38.0,10700,36,Car,6.39,Mortgage,0
53,Female,Master,Married,3,62500.0,626.0,49700,0.0,75.0,18800,36,Car,3.0,Mortgage,1
57,Male,Bachelor,Divorced,1,41400.0,642.0,8200,4.0,23.0,36700,36,Education,10.34,Own,0
41,Female,Master,Single,4,666219.0,,31300,5.0,259.0,15500,48,Car,8.51,Mortgage,0
20,Male,PhD,Single,4,114400.0,454.0,64700,1.0,140.0,10000,36,Medical,7.77,Rent,0
39,Female,Master,Single,0,54800.0,687.0,41400,7.0,1.0,24000,60,Medical,6.05,Mortgage,0
19,Male,Bachelor,Married,2,71000.0,730.0,49200,4.0,109.0,15000,36,Home,10.15,Own,0
41,Male,Master,Single,2,62500.0,,17000,5.0,55.0,1000,36,Medical,8.55,Rent,0
61,Female,Bachelor,Married,0,35800.0,669.0,17900,0.0,33.0,27400,48,Home,13.13,Mortgage,1
47,Male,Bachelor,Married,4,43900.0,678.0,33700,3.0,42.0,35400,36,Education,8.57,Own,0
55,Female,Master,Married,4,68100.0,715.0,41900,2.0,89.0,24700,36,Personal,9.76,Own,0
19,Female,High School,Married,2,40800.0,651.0,23700,5.0,145.0,37500,48,Personal,13.22,Own,1
38,Female,Master,Married,1,62600.0,693.0,39300,5.0,39.0,32700,60,Car,7.51,Rent,0
50,Female,Master,Single,3,58100.0,557.0,18900,6.0,,14700,36,Car,7.2,Mortgage,0
29,Female,Master,Married,1,73500.0,569.0,44900,1.0,49.0,49600,36,Car,12.78,Own,1
39,Female,Bachelor,Married,4,57000.0,684.0,15000,3.0,4.0,28900,60,Home,3.82,Own,0
61,Female,Master,Divorced,1,82800.0,632.0,33100,5.0,48.0,30100,12,Personal,7.72,Rent,0
42,Female,Bachelor,Single,3,30800.0,524.0,22300,5.0,79.0,13100,36,Car,7.65,Own,0
66,Male,Master,Single,1,42300.0,678.0,4800,2.0,21.0,6400,36,Personal,5.97,Rent,0
44,Male,High School,Single,1,50700.0,548.0,19800,7.0,4.0,12000,12,Personal,10.09,Rent,1
59,Female,High School,Married,1,,850.0,13100,0.0,57.0,36000,36,Car,6.79,Rent,0
45,Male,Bachelor,Married,1,84100.0,476.0,20100,4.0,20.0,45500,12,Car,8.82,Own,1
33,Male,Bachelor,Single,0,61800.0,654.0,42500,6.0,14.0,28500,60,Personal,5.7,Own,0
32,Male,Bachelor,Married,4,34300.0,561.0,20200,3.0,56.0,26100,48,Home,9.36,Mortgage,0
64,Male,Master,Single,3,85600.0,723.0,15300,2.0,168.0,36600,12,Education,14.74,Own,0
68,Female,Bachelor,Single,4,69100.0,618.0,30800,2.0,66.0,41600,12,Home,8.34,Mortgage,0
61,Female,Bachelor,Married,0,70300.0,731.0,30000,4.0,32.0,7600,48,Car,8.47,Mortgage,0
69,Male,High School,Single,0,52600.0,711.0,10500,3.0,44.0,44500,36,Home,4.94,Own,0
20,Female,Bachelor,Married,0,62700.0,565.0,41400,3.0,7.0,20400,36,Car,11.03,Mortgage,1
54,Female,Bachelor,Married,0,70500.0,592.0,25100,6.0,81.0,38000,24,Medical,8.24,Own,0
68,Male,High School,Married,1,38200.0,622.0,24200,0.0,45.0,12200,24,Personal,9.68,Mortgage,1
24,Female,Bachelor,Single,4,29100.0,645.0,6800,3.0,162.0,37400,24,Car,11.35,Rent,0
38,Male,High School,Divorced,2,34500.0,634.0,11100,6.0,187.0,7800,24,Education,7.96,Own,0
26,Male,High School,Married,3,,708.0,7800,5.0,21.0,38500,36,Car,11.56,Mortgage,1
56,Female,Bachelor,Married,0,80000.0,669.0,16000,4.0,215.0,32700,48,Home,11.76,Mortgage,0
35,Male,High School,Single,4,42300.0,601.0,30400,3.0,151.0,6100,36,Medical,9.52,Rent,0
21,Female,Master,Single,0,91500.0,577.0,16100,7.0,49.0,40300,36,Personal,9.1,Rent,0
42,Female,Master,Single,0,65100.0,,10900,7.0,19.0,13300,36,Home,8.58,Mortgage,0
31,Male,Bachelor,Single,0,57600.0,676.0,43700,0.0,67.0,38700,36,Personal,10.18,Rent,0
67,Female,PhD,Married,0,107500.0,635.0,59400,2.0,15.0,26700,24,Personal,10.05,Own,0
26,Female,Bachelor,Divorced,0,45300.0,816.0,7700,5.0,48.0,10000,36,Home,4.21,Rent,0
43,Male,Bachelor,Married,3,,650.0,41400,3.0,1.0,12800,48,Medical,6.48,Mortgage,0
19,Female,PhD,Single,4,92400.0,665.0,18800,4.0,48.0,71800,48,Car,11.37,Mortgage,0
37,Female,High School,Married,0,26800.0,,17100,3.0,145.0,52700,36,Medical,9.24,Mortgage,1
45,Female,PhD,Single,0,98100.0,,12200,6.0,13.0,22500,36,Education,7.85,Own,1
64,Female,High School,Married,0,38100.0,560.0,20500,1.0,72.0,30100,24,Home,13.79,Mortgage,1
24,Male,Bachelor,Married,0,,607.0,25400,7.0,17.0,39400,60,Personal,10.94,Own,1
61,Female,High School,Married,1,36200.0,531.0,8900,0.0,59.0,9500,60,Education,11.74,Mortgage,0
25,Female,Master,Divorced,1,86000.0,558.0,47300,2.0,58.0,33300,36,Personal,7.84,Rent,1
64,Female,Bachelor,Single,2,38100.0,703.0,20300,1.0,10.0,36800,36,Home,9.66,Own,0
52,Female,Master,Married,0,63500.0,581.0,41800,4.0,44.0,29300,36,Personal,8.26,Mortgage,0
31,Female,Bachelor,Divorced,2,65300.0,647.0,46600,3.0,94.0,41700,36,Car,5.39,Own,0
34,Male,Bachelor,Married,3,61800.0,697.0,28200,0.0,,26800,60,Personal,9.09,Rent,0
53,Female,High School,Married,2,15000.0,726.0,6600,5.0,59.0,38300,48,Education,8.33,Rent,1
67,Female,Bachelor,Divorced,4,64900.0,673.0,34700,6.0,54.0,27800,48,Car,8.28,Mortgage,0
57,Female,PhD,Single,1,57800.0,,35300,,14.0,6600,36,Home,11.47,Rent,0
21,Female,Bachelor,Divorced,1,65300.0,728.0,22800,3.0,120.0,36300,12,Personal,8.17,Own,1
19,Male,Master,Single,0,96200.0,683.0,43600,7.0,,40600,24,Education,8.71,Own,0
23,Male,Master,Married,0,34900.0,733.0,17800,3.0,21.0,23200,24,Personal,8.86,Rent,0
59,Male,Bachelor,Divorced,3,47500.0,479.0,37600,3.0,9.0,8900,24,Car,10.01,Own,1
21,Male,Bachelor,Single,3,78900.0,643.0,40300,5.0,31.0,35400,60,Medical,9.39,Mortgage,1
46,Female,High School,Married,4,52900.0,654.0,13600,3.0,63.0,28800,36,Medical,10.56,Mortgage,0
35,Female,High School,Single,0,33200.0,641.0,17000,0.0,47.0,28600,60,Medical,4.65,Rent,1
43,Female,High School,Divorced,0,17200.0,660.0,11600,5.0,62.0,27300,48,Personal,8.93,Mortgage,1
61,Male,Bachelor,Married,3,62400.0,617.0,43700,5.0,75.0,37100,48,Home,8.16,Rent,0
51,Female,Bachelor,Married,3,78400.0,713.0,51800,7.0,28.0,28500,24,Education,4.55,Rent,0
27,Male,Bachelor,Married,3,57200.0,607.0,41300,1.0,35.0,19300,36,Education,4.17,Own,0
53,Male,Bachelor,Married,1,33800.0,633.0,11300,4.0,206.0,5600,36,Car,6.62,Rent,0
31,Female,Bachelor,Married,2,44900.0,766.0,20400,5.0,165.0,19500,60,Car,6.54,Mortgage,0
48,Female,Bachelor,Married,2,99000.0,754.0,63900,1.0,26.0,35900,60,Education,7.78,Mortgage,0
65,Male,Master,Married,0,57900.0,663.0,16500,0.0,55.0,21000,24,Car,8.88,Mortgage,0
32,Male,High School,Married,1,23900.0,599.0,8600,4.0,15.0,35900,36,Car,9.98,Mortgage,1
25,Male,High School,Single,3,40700.0,519.0,27700,5.0,8.0,8000,36,Personal,4.79,Own,0
31,Male,Master,Single,0,95400.0,639.0,61000,2.0,70.0,12900,24,Home,5.79,Own,0
40,Female,Bachelor,Single,1,15000.0,691.0,11700,1.0,,12200,48,Car,5.89,Rent,1
57,Male,Bachelor,Divorced,4,15000.0,592.0,12000,0.0,9.0,26600,48,Medical,8.14,Mortgage,1
38,Female,Bachelor,Married,1,40100.0,650.0,10800,0.0,68.0,46500,48,Home,8.58,Rent,1
